Product_ID,Product_Name,Category,Brand,Price,List_Price,Rating,Reviews,BestSeller,Prime,AmazonChoice,Stock,Status,Image_URL,Description
B0DPBHSAHX,"Neutrogena Foaming Face Wash, 150ml, For Daily Use, All Skin Types",Beauty,Neutrogena,4.3,5.0,4.8,187,False,False,False,72,Available,https://images.pexels.com/photos/11010801/pexels-photo-11010801.jpeg,"Premium quality Neutrogena Foaming Face Wash, gently cleanses without stripping natural moisture, suitable for daily use."
B0PKH1DNMM,"Eucerin Gel Face Cleanser, 150ml, For Daily Use, All Skin Types",Beauty,Eucerin,6.65,6.65,3.8,1204,False,False,False,23,Available,https://images.pexels.com/photos/3762460/pexels-photo-3762460.jpeg,"Premium quality Eucerin Gel Face Cleanser, gently cleanses without stripping natural moisture, suitable for daily use."
B0W5NGCX19,"CeraVe Salicylic Acid Face Wash, 150ml, For Daily Use, All Skin Types",Beauty,CeraVe,12.76,18.38,4.0,526,False,True,True,213,Available,https://images.pexels.com/photos/8128069/pexels-photo-8128069.jpeg,"Premium quality CeraVe Salicylic Acid Face Wash, gently cleanses without stripping natural moisture, suitable for daily use."
B0YZYCWTIQ,"Cetaphil Oil Control Face Wash, 150ml, For Daily Use, All Skin Types",Beauty,Cetaphil,14.4,17.97,4.1,365,False,True,False,206,Available,https://images.pexels.com/photos/3762460/pexels-photo-3762460.jpeg,"Premium quality Cetaphil Oil Control Face Wash, gently cleanses without stripping natural moisture, suitable for daily use."
B0LJH75LXO,"Garnier Hydrating Face Wash, 150ml, For Daily Use, All Skin Types",Beauty,Garnier,6.64,9.06,3.6,67,False,True,False,48,Available,https://images.pexels.com/photos/2566853/pexels-photo-2566853.jpeg,"Premium quality Garnier Hydrating Face Wash, gently cleanses without stripping natural moisture, suitable for daily use."
B06OH9SDBD,"Aveeno Charcoal Face Wash, 150ml, For Daily Use, All Skin Types",Beauty,Aveeno,5.71,7.74,4.4,67,False,True,False,295,Available,https://images.pexels.com/photos/2566853/pexels-photo-2566853.jpeg,"Premium quality Aveeno Charcoal Face Wash, gently cleanses without stripping natural moisture, suitable for daily use."
B0JT7YE511,"The Ordinary Micellar Cleansing Water, 200ml, Fragrance Free",Beauty,The Ordinary,17.09,18.86,4.2,23,False,False,False,215,Available,https://images.pexels.com/photos/3762460/pexels-photo-3762460.jpeg,"Premium quality The Ordinary Micellar Cleansing Water, dermatologist tested and fragrance free for sensitive skin."
B0SDW4SHNF,"Neutrogena Creamy Face Cleanser, 200ml, Fragrance Free",Beauty,Neutrogena,10.11,10.93,4.6,804,False,False,False,154,Available,https://images.pexels.com/photos/8128069/pexels-photo-8128069.jpeg,"Premium quality Neutrogena Creamy Face Cleanser, dermatologist tested and fragrance free for sensitive skin."
B053LC58DR,"Garnier Gentle Foaming Cleanser, 200ml, Fragrance Free",Beauty,Garnier,18.86,18.86,4.8,367,False,True,False,270,Available,https://images.pexels.com/photos/8140898/pexels-photo-8140898.jpeg,"Premium quality Garnier Gentle Foaming Cleanser, dermatologist tested and fragrance free for sensitive skin."
B0PHT0HL9X,"Garnier Balancing Cleanser, 200ml, Fragrance Free",Beauty,Garnier,16.72,21.0,4.7,492,False,True,False,104,Available,https://images.pexels.com/photos/17747936/pexels-photo-17747936.jpeg,"Premium quality Garnier Balancing Cleanser, dermatologist tested and fragrance free for sensitive skin."
B0HCWI64CI,"Garnier Milk Cleanser, 200ml, Fragrance Free",Beauty,Garnier,12.32,13.6,3.9,8,False,False,False,30,Available,https://images.pexels.com/photos/2566853/pexels-photo-2566853.jpeg,"Premium quality Garnier Milk Cleanser, dermatologist tested and fragrance free for sensitive skin."
B0ODXMO5BX,"Aveeno Daily Facial Moisturizer SPF15, 50g Jar",Beauty,Aveeno,12.28,17.51,4.2,1401,False,True,False,262,Available,https://images.pexels.com/photos/2566853/pexels-photo-2566853.jpeg,"Premium quality Aveeno Daily Facial Moisturizer SPF15, locks in moisture for smooth, healthy-looking skin all day."
B0QPKI7P5T,"Neutrogena Oil-Free Moisturizer, 50g Jar",Beauty,Neutrogena,9.21,9.21,3.8,714,False,True,False,75,Available,https://images.pexels.com/photos/8140898/pexels-photo-8140898.jpeg,"Premium quality Neutrogena Oil-Free Moisturizer, locks in moisture for smooth, healthy-looking skin all day."
B0HOCN9J2Q,"Garnier Hyaluronic Acid Moisturizer, 50g Jar",Beauty,Garnier,24.72,24.72,4.2,95,False,True,False,141,Available,https://images.pexels.com/photos/17747936/pexels-photo-17747936.jpeg,"Premium quality Garnier Hyaluronic Acid Moisturizer, locks in moisture for smooth, healthy-looking skin all day."
B0T0CVS4F8,"Garnier Night Repair Cream, 50g Jar",Beauty,Garnier,21.24,24.43,4.4,80,False,False,False,131,Available,https://images.pexels.com/photos/8140898/pexels-photo-8140898.jpeg,"Premium quality Garnier Night Repair Cream, locks in moisture for smooth, healthy-looking skin all day."
